
Name,Website,Category,Classification,Notes
Pinon Valley Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 40 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,6%209%2014%20100%2040"
Point Arena Water Works,,Investor‑owned water utility,Class D (<500 connections),"Approximately 202 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,14%20100%2040%20202%2092"
Meadow Valley Water Works,,Investor‑owned water utility,Class D (<500 connections),"Approximately 92 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,100%2040%20202%2092%20206"
Mecchi Water Service,,Investor‑owned water utility,Class D (<500 connections),"Approximately 206 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,100%2040%20202%2092%20206"
Meyers Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 46 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,40%20202%2092%20206%2046"
MHC Acquisition One,,Investor‑owned water utility,Class D (<500 connections),"Approximately 397 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,202%2092%20206%2046%20397"
Mira Monte Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 16 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,92%20206%2046%20397%2016"
Mountain Mesa Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 111 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Pierpoint%20Springs%20Water%20Company%20Pinon,206%2046%20397%2016%20111"
Redwood Lodge Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 77 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Redwood%20Lodge%20Water%20Company%20PureSource,77%2014%20April%2021%2C%202025"
PureSource Water,,Investor‑owned water utility,Class D (<500 connections),"Approximately 14 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Redwood%20Lodge%20Water%20Company%20PureSource,77%2014%20April%2021%2C%202025"
Rolling Green Utilities,,Investor‑owned water utility,Class D (<500 connections),"Approximately 285 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,Susan%20River%20Park%20Water%20Company"
Sereno Del Mar Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 141 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,Susan%20River%20Park%20Water%20Company"
Sierra City Water Works,,Investor‑owned water utility,Class D (<500 connections),"Approximately 89 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,Susan%20River%20Park%20Water%20Company"
Sierra Park Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 346 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,Susan%20River%20Park%20Water%20Company"
Sonora Water Resources,,Investor‑owned water utility,Class D (<500 connections),"Approximately 50 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,141%2089%20346%2050%20249"
Spreckels Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 249 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,141%2089%20346%2050%20249"
Stone Creek Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 6 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,89%20346%2050%20249%206%2C149"
Sierra Water Resources,,Investor‑owned water utility,Class D (<500 connections),"Approximately 149 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,89%20346%2050%20249%206%2C149"
Slide Inn Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 8 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,167%2083%20146%208%20126"
Sonoma Springs Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 126 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=STATE%20OF%20CALIFORNIA%20PUBLIC%20UTILITIES,8%20126%20April%2021%2C%202025"
Susan River Park Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 146 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Susan%20River%20Park%20Water%20Company,56%20167%2083%20146%208"
Twin Lakes Enterprises,,Investor‑owned water utility,Class D (<500 connections),"Approximately 8 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Susan%20River%20Park%20Water%20Company,56%20167%2083%20146%208"
Twin Valley Water Company,,Investor‑owned water utility,Class D (<500 connections),"Approximately 126 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Susan%20River%20Park%20Water%20Company,167%2083%20146%208%20126"
Vista Grande Water System,,Investor‑owned water utility,Class D (<500 connections),"Approximately 6 connectionswww.cpuc.ca.gov/-/media/cpuc-website/divisions/water-division/reports/watersewerutilities_totalconnections20250421.pdf#:~:text=Susan%20River%20Park%20Water%20Company,167%2083%20146%208%20126"
Angiola Water District,,Community‑owned utility,ACWA member,Irrigation district
Apple Valley Foothill County Water District,,Community‑owned utility,ACWA member,Small county water district
Atwell Island Water District,,Community‑owned utility,ACWA member,Irrigation district
Brophy Water District,,Community‑owned utility,ACWA member,Irrigation district
Calpella County Water District,,Community‑owned utility,ACWA member,Small county water district
Camp Far West Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Yuba/Sutter counties
Centerville Community Services District,,Community‑owned utility,ACWA member,Water and wastewater services near Redding
Central San Joaquin Water Conservation District,,Community‑owned utility,ACWA member,Water conservation district in San Joaquin Valley
Chowchilla Water District,,Community‑owned utility,ACWA member,Irrigation district
Consolidated Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Corcoran Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Kings County
Corning Water District,,Community‑owned utility,ACWA member,Water district serving Corning
Cottonwood Water District,,Community‑owned utility,ACWA member,Water district near Redding
Deer Creek Storm Water District,,Community‑owned utility,ACWA member,Storm water management district
Delhi County Water District,,Community‑owned utility,ACWA member,Water district in Merced County
Devils Den Water District,,Community‑owned utility,ACWA member,Irrigation district in Kern County
Ducor Community Services District,,Community‑owned utility,ACWA member,Small services district in Tulare County
Dunnigan Water District,,Community‑owned utility,ACWA member,Irrigation district in Yolo County
East Turlock Subbasin Groundwater Sustainability Agency,,Groundwater agency,ACWA member,Groundwater sustainability agency in Turlock basin
Eastside Water District,,Community‑owned utility,ACWA member,Irrigation district in Merced County
El Rico Groundwater Sustainability Agency,,Groundwater agency,ACWA member,Groundwater sustainability agency
Empire West Side Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Kern County
Exeter Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Tulare County
Fall River Valley Community Services District,,Community‑owned utility,ACWA member,Provides water and sewer services in Fall River Valley
Feather Water District,,Community‑owned utility,ACWA member,Irrigation district in Yuba County
Firebaugh Canal Water District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Fresno Slough Water District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Glide Water District,,Community‑owned utility,ACWA member,Irrigation district in Glenn County
Gravelly Ford Water District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Green Valley Water District,,Community‑owned utility,ACWA member,Water district in Solano County
Groundwater Banking Joint Powers Authority,,Joint powers authority,ACWA member,Agency for groundwater banking projects
Henry Miller Reclamation District #2131,,Reclamation district,ACWA member,Reclamation district in Merced County
Ivanhoe Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Tulare County
Ivanhoe Public Utilities District,,Community‑owned utility,ACWA member,Public utilities district in Tulare County
James Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Kanawha Water District,,Community‑owned utility,ACWA member,Irrigation district in Yolo County
Kern Tulare Water District,,Community‑owned utility,ACWA member,Irrigation district in Kern/Tulare counties
Kings County Water District,,Community‑owned utility,ACWA member,Irrigation district in Kings County
Kings River Water District,,Community‑owned utility,ACWA member,Irrigation district on Kings River
Knights Landing Ridge Drainage District,,Drainage district,ACWA member,Drainage district in Yolo County
La Habra Heights County Water District,,Community‑owned utility,ACWA member,Water district in La Habra Heights
Laguna Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
Lakeside Irrigation Water District,,Community‑owned utility,ACWA member,Irrigation district
Laton Community Services District,,Community‑owned utility,ACWA member,Provides water services in Laton
Laytonville County Water District,,Community‑owned utility,ACWA member,Water district in Laytonville
Le Grand Community Services District,,Community‑owned utility,ACWA member,Provides water services in Le Grand
Littlerock Creek Irrigation District,,Community‑owned utility,ACWA member,Irrigation district in Los Angeles County
Madera Water District,,Community‑owned utility,ACWA member,Water district in Madera County
Madera‑Chowchilla Water and Power Authority,,Joint powers authority,ACWA member,Water and power authority in Madera County
Maine Prairie Water District,,Community‑owned utility,ACWA member,Irrigation district in Solano County
Majestic Pines Community Services District,,Community‑owned utility,ACWA member,Provides water and services in Majestic Pines
Mojave Public Utility District,,Community‑owned utility,ACWA member,Provides water and electricity in Mojave area
Montague Water Conservation District,,Community‑owned utility,ACWA member,Irrigation district in Siskiyou County
North Kern Water Storage District,,Community‑owned utility,ACWA member,Irrigation district in Kern County
Omochumne‑Hartnell Water District,,Community‑owned utility,ACWA member,Water district in southern Sacramento County
Orosi Public Utilities District,,Community‑owned utility,ACWA member,Provides water services in Orosi
Pacheco Water District,,Community‑owned utility,ACWA member,Irrigation district in Fresno County
